,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
40,b,2.2282706766917295,2.3099999999999996,u,g,c,v,1.631578947368421,t,t,1.716417910447761,t,g,1.0,1.00884,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,5.0,1.0
41,b,1.912481203007519,3.142857142857143,u,g,c,h,1.7487719298245614,t,t,1.6567164179104479,f,g,1.0,1.09132,5.0,3.0,1.0,1.3076923076923077,2.5,5.0,5.0,1.0,1.0
42,b,1.957593984962406,1.2021428571428572,u,g,w,h,1.1052631578947367,t,t,1.0597014925373134,f,g,1.48,1.004,5.0,3.0,1.0,4.6923076923076925,2.5,5.0,5.0,1.0,1.0
43,b,2.5536842105263156,2.9878571428571425,u,g,w,v,2.2105263157894735,t,t,1.3582089552238805,t,g,1.1400000000000001,1.0,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,5.0,1.0
44,b,3.5666165413533837,5.0,y,p,c,v,5.0,t,t,3.388059701492537,f,g,1.0,1.0006,5.0,5.0,5.0,1.3076923076923077,4.5,5.0,5.0,1.0,1.0
45,b,3.440902255639098,1.9642857142857142,u,g,c,h,1.368421052631579,t,t,1.6567164179104479,t,g,1.0,1.01136,5.0,3.0,1.0,1.3076923076923077,2.5,5.0,5.0,5.0,1.0
46,a,2.6390977443609023,1.2914285714285714,y,p,q,h,1.0175438596491229,t,t,2.373134328358209,t,g,1.9100000000000001,1.04944,1.0,5.0,5.0,4.076923076923077,2.5,5.0,5.0,5.0,1.0
47,b,2.0929323308270678,1.637142857142857,u,g,cc,h,1.847719298245614,t,t,1.1791044776119404,f,g,1.6219999999999999,1.012,5.0,3.0,1.0,1.6153846153846154,2.5,5.0,5.0,1.0,1.0
48,b,2.669172932330827,1.22,u,g,i,bb,1.4912280701754386,f,f,1.0,f,g,1.432,1.0,5.0,3.0,1.0,2.8461538461538463,1.0,1.0,1.0,1.0,1.0
49,b,1.6117293233082708,1.095,u,g,c,v,1.023157894736842,f,f,1.0,f,g,1.2,1.0,5.0,3.0,1.0,1.3076923076923077,4.5,1.0,1.0,1.0,1.0
50,a,1.7218045112781954,1.0714285714285714,u,g,c,h,1.1228070175438596,t,f,1.0,t,g,1.982,1.0,1.0,3.0,1.0,1.3076923076923077,2.5,5.0,1.0,5.0,1.0
51,b,1.736842105263158,1.1428571428571428,u,g,q,v,1.2456140350877192,t,f,1.0,t,g,1.56,1.0,5.0,3.0,1.0,4.076923076923077,4.5,5.0,1.0,5.0,1.0
52,b,2.423759398496241,1.2914285714285714,u,g,w,v,1.0056140350877194,t,f,1.0,t,g,1.8,1.232,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,1.0,5.0,1.0
53,b,2.2733834586466166,1.3571428571428572,u,g,w,v,1.0,t,f,1.0,t,g,1.478,1.008,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,1.0,5.0,1.0
54,b,2.2330827067669174,1.4285714285714286,u,g,cc,h,2.0407017543859647,t,f,1.0,t,g,1.0,1.0,5.0,3.0,1.0,1.6153846153846154,2.5,5.0,1.0,5.0,1.0
55,b,1.576240601503759,2.6607142857142856,y,p,w,v,1.1171929824561404,t,f,1.0,t,g,1.32,1.012,5.0,5.0,5.0,4.6923076923076925,4.5,5.0,1.0,5.0,1.0
56,b,1.5666165413533837,1.0,u,g,cc,v,1.0119298245614035,t,f,1.0,f,g,1.0,1.0,5.0,3.0,1.0,1.6153846153846154,4.5,5.0,1.0,1.0,1.0
57,b,2.8393984962406016,1.0714285714285714,u,g,i,h,1.7017543859649122,t,f,1.0,t,g,1.6400000000000001,1.0,5.0,3.0,1.0,2.8461538461538463,2.5,5.0,1.0,5.0,1.0
58,b,2.288421052631579,1.6428571428571428,u,g,x,h,1.807017543859649,f,f,1.0,t,s,2.4219999999999997,1.0,5.0,3.0,1.0,5.0,2.5,1.0,1.0,5.0,5.0
59,b,2.774436090225564,1.4285714285714286,u,g,q,h,1.8421052631578947,t,t,1.6567164179104479,f,g,1.16,1.0,5.0,3.0,1.0,4.076923076923077,2.5,5.0,5.0,1.0,1.0
60,b,3.5864661654135337,2.75,u,g,m,v,1.1754385964912282,t,t,1.2388059701492538,t,g,1.4,1.0,5.0,3.0,1.0,3.769230769230769,4.5,5.0,5.0,5.0,1.0
61,b,2.0778947368421052,3.309285714285714,u,g,d,v,1.4210526315789473,t,t,1.537313432835821,f,g,1.5,1.0292,5.0,3.0,1.0,1.9230769230769231,4.5,5.0,5.0,1.0,1.0
62,a,1.5816541353383458,1.1128571428571428,y,p,q,v,1.2105263157894737,t,t,1.1194029850746268,t,g,1.16,1.016,1.0,5.0,5.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
63,a,1.401203007518797,1.1192857142857142,u,g,q,v,1.2224561403508771,t,t,1.0597014925373134,f,g,1.0,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
64,b,1.7771428571428571,1.6071428571428572,u,g,cc,v,1.6021052631578947,t,t,1.0597014925373134,t,g,1.24,1.0,5.0,3.0,1.0,1.6153846153846154,4.5,5.0,5.0,5.0,1.0
65,b,2.2282706766917295,1.22,u,g,cc,v,1.2161403508771929,t,t,1.0597014925373134,t,g,2.04,3.0,5.0,3.0,1.0,1.6153846153846154,4.5,5.0,5.0,5.0,1.0
66,a,2.338345864661654,1.1428571428571428,u,g,c,v,1.280701754385965,t,t,1.6567164179104479,f,g,1.0,1.01824,1.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,1.0,1.0
67,b,1.706766917293233,1.0535714285714286,u,g,m,v,1.0350877192982457,t,t,1.1791044776119404,f,g,1.52,1.60432,5.0,3.0,1.0,3.769230769230769,4.5,5.0,5.0,1.0,1.0
68,b,1.3410526315789473,1.9285714285714284,u,g,w,h,1.2049122807017545,t,t,1.417910447761194,f,g,1.16,1.11816,5.0,3.0,1.0,4.6923076923076925,2.5,5.0,5.0,1.0,1.0
69,b,2.288421052631579,4.5892857142857135,u,g,x,h,1.2280701754385965,t,t,1.0597014925373134,t,g,2.0300000000000002,1.02,5.0,3.0,1.0,5.0,2.5,5.0,5.0,5.0,1.0
70,b,2.1175939849624057,2.071428571428571,u,g,e,bb,1.2224561403508771,t,f,1.0,t,s,1.8399999999999999,1.0,5.0,3.0,1.0,2.230769230769231,1.0,5.0,1.0,5.0,5.0
71,b,2.26796992481203,1.5714285714285714,u,g,d,bb,2.754385964912281,t,f,1.0,t,g,1.0,1.0,5.0,3.0,1.0,1.9230769230769231,1.0,5.0,1.0,5.0,1.0
72,a,2.493533834586466,1.7142857142857142,u,g,cc,v,2.894736842105263,t,f,1.0,t,g,2.96,1.0,1.0,3.0,1.0,1.6153846153846154,4.5,5.0,1.0,5.0,1.0
73,b,2.8345864661654137,1.0714285714285714,u,g,m,v,2.508771929824561,t,f,1.0,f,s,1.8,1.0,5.0,3.0,1.0,3.769230769230769,4.5,5.0,1.0,1.0,5.0
74,b,2.869473684210526,2.0,y,p,c,v,1.2280701754385965,f,f,1.0,f,g,1.32,1.00008,5.0,5.0,5.0,1.3076923076923077,4.5,1.0,1.0,1.0,1.0
75,b,1.4162406015037594,1.7557142857142858,u,g,q,v,1.0526315789473684,t,t,1.0597014925373134,f,g,1.32,1.0,5.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
76,b,2.222857142857143,1.9285714285714284,u,g,aa,v,1.0175438596491229,t,f,1.0,t,g,1.8860000000000001,1.0,5.0,3.0,1.0,1.0,4.5,5.0,1.0,5.0,1.0
77,a,1.3260150375939852,1.0835714285714286,y,p,aa,v,1.0821052631578947,t,f,1.0,t,g,1.32,1.0,1.0,5.0,5.0,1.0,4.5,5.0,1.0,5.0,1.0
78,b,1.476390977443609,1.1664285714285714,y,p,k,v,1.3508771929824561,t,t,1.0597014925373134,f,g,1.3599999999999999,1.0008,5.0,5.0,5.0,3.4615384615384617,4.5,5.0,5.0,1.0,1.0
79,b,1.4661654135338344,2.392857142857143,u,g,c,v,1.0350877192982457,t,f,1.0,f,g,1.28,1.0,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,1.0,1.0,1.0
80,b,3.1551879699248118,3.714285714285714,u,g,ff,ff,1.0,t,t,1.0597014925373134,f,g,1.188,1.0,5.0,3.0,1.0,2.5384615384615383,2.0,5.0,5.0,1.0,1.0
81,a,1.8372932330827068,1.2142857142857142,u,g,m,v,1.280701754385965,t,f,1.0,f,s,1.736,1.0,1.0,3.0,1.0,3.769230769230769,4.5,5.0,1.0,1.0,5.0
82,b,2.568721804511278,1.0714285714285714,u,g,m,v,1.0350877192982457,t,f,1.0,f,s,1.576,1.0,5.0,3.0,1.0,3.769230769230769,4.5,5.0,1.0,1.0,5.0
83,a,2.0387464312956323,1.5,u,g,d,v,1.4210526315789473,t,f,1.0,t,g,1.6,1.0,1.0,3.0,1.0,1.9230769230769231,4.5,5.0,1.0,5.0,1.0
84,b,1.81203007518797,1.0892857142857142,u,g,aa,v,1.063859649122807,t,f,1.0,t,g,1.4,1.0,5.0,3.0,1.0,1.0,4.5,5.0,1.0,5.0,1.0
85,b,2.4087218045112784,1.5714285714285714,u,g,c,bb,1.7017543859649122,t,f,1.0,t,s,1.56,1.0,5.0,3.0,1.0,1.3076923076923077,1.0,5.0,1.0,5.0,5.0
86,b,2.0387464312956323,1.0535714285714286,u,g,d,v,1.1228070175438596,t,f,1.0,t,s,2.856,1.0,5.0,3.0,1.0,1.9230769230769231,4.5,5.0,1.0,5.0,5.0
87,b,1.7169924812030075,1.3157142857142856,y,p,aa,v,1.5614035087719298,t,f,1.0,f,g,1.376,1.0,5.0,5.0,5.0,1.0,4.5,5.0,1.0,1.0,1.0
88,b,2.218045112781955,1.6428571428571428,u,g,aa,v,1.1403508771929824,t,f,1.0,t,g,1.48,1.0,5.0,3.0,1.0,1.0,4.5,5.0,1.0,5.0,1.0
89,a,3.1203007518796992,1.2142857142857142,u,g,j,j,1.0,t,f,1.0,t,g,1.2,1.00108,1.0,3.0,1.0,3.153846153846154,3.0,5.0,1.0,5.0,1.0
90,b,3.9323308270676693,2.821428571428571,y,p,c,h,1.7017543859649122,t,f,1.0,f,g,1.224,1.0,5.0,5.0,5.0,1.3076923076923077,2.5,5.0,1.0,1.0,1.0
91,b,2.0628571428571427,3.214285714285714,u,g,c,v,1.0701754385964912,t,f,1.0,f,g,1.24,1.0,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,1.0,1.0,1.0
92,b,2.0387464312956323,1.7142857142857142,y,p,aa,v,2.192982456140351,t,f,1.0,f,g,1.0,1.0,5.0,5.0,5.0,1.0,4.5,5.0,1.0,1.0,1.0
93,b,3.3206015037593986,1.1964285714285714,y,p,c,h,2.327719298245614,t,f,1.0,t,g,1.4,1.004,5.0,5.0,5.0,1.3076923076923077,2.5,5.0,1.0,5.0,1.0
94,b,1.9022556390977443,1.2142857142857142,y,p,c,v,1.2105263157894737,t,f,1.0,t,g,1.0,1.009,5.0,5.0,5.0,1.3076923076923077,4.5,5.0,1.0,5.0,1.0
95,a,1.8920300751879697,1.5057142857142858,u,g,i,bb,1.0701754385964912,t,f,1.0,t,g,1.342,1.0,1.0,3.0,1.0,2.8461538461538463,1.0,5.0,1.0,5.0,1.0
96,b,1.556390977443609,1.0892857142857142,y,p,aa,v,1.0175438596491229,t,f,1.0,f,g,1.3599999999999999,1.00004,5.0,5.0,5.0,1.0,4.5,5.0,1.0,1.0,1.0
97,b,2.0387464312956323,1.0714285714285714,u,g,c,bb,1.1171929824561404,t,f,1.0,t,s,1.6400000000000001,1.0,5.0,3.0,1.0,1.3076923076923077,1.0,5.0,1.0,5.0,5.0
98,a,1.526315789473684,2.571428571428571,y,p,q,v,1.4210526315789473,t,f,1.0,t,g,1.536,1.0,1.0,5.0,5.0,4.076923076923077,4.5,5.0,1.0,5.0,1.0
99,a,1.8872180451127818,1.1428571428571428,u,g,q,v,1.1403508771929824,t,t,1.1194029850746268,t,g,1.334,1.02,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
100,b,2.4285714285714284,1.25,y,p,c,bb,1.0350877192982457,t,f,1.0,t,g,1.328,1.016,5.0,5.0,5.0,1.3076923076923077,1.0,5.0,1.0,5.0,1.0
101,b,2.293233082706767,3.357142857142857,y,p,c,v,1.5614035087719298,t,f,1.0,f,g,1.16,1.0,5.0,5.0,5.0,1.3076923076923077,4.5,5.0,1.0,1.0,1.0
102,b,1.2959398496240602,1.7142857142857142,u,g,q,v,1.0526315789473684,t,t,1.1194029850746268,f,g,1.0,1.00152,5.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
103,b,1.6766917293233083,2.7142857142857144,u,g,k,v,1.3157894736842106,t,t,1.1194029850746268,t,g,1.24,1.0002,5.0,3.0,1.0,3.4615384615384617,4.5,5.0,5.0,5.0,1.0
104,b,1.8469172932330826,1.5714285714285714,y,p,i,h,1.807017543859649,t,t,1.1194029850746268,t,g,1.15,1.0,5.0,5.0,5.0,2.8461538461538463,2.5,5.0,5.0,5.0,1.0
105,b,3.4709774436090224,3.214285714285714,u,g,e,z,1.0,t,t,2.1940298507462686,f,g,1.304,1.0052,5.0,3.0,1.0,2.230769230769231,5.0,5.0,5.0,1.0,1.0
106,b,1.9022556390977443,1.1664285714285714,u,g,k,v,1.0701754385964912,t,f,1.0,f,s,1.56,1.0,5.0,3.0,1.0,3.4615384615384617,4.5,5.0,1.0,1.0,5.0
107,a,1.6766917293233083,2.571428571428571,y,p,aa,v,1.631578947368421,t,f,1.0,f,g,1.24,1.0,1.0,5.0,5.0,1.0,4.5,5.0,1.0,1.0,1.0
108,b,2.6342857142857143,1.3214285714285714,y,p,x,h,2.4035087719298245,t,f,1.0,t,g,1.3519999999999999,1.0,5.0,5.0,5.0,5.0,2.5,5.0,1.0,5.0,1.0
109,a,1.3609022556390977,1.1071428571428572,u,g,c,v,1.111578947368421,t,t,1.2985074626865671,t,g,1.28,1.0002,1.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,5.0,1.0
110,b,1.9275187969924814,1.5,u,g,w,v,1.4912280701754386,t,t,1.1791044776119404,t,g,1.658,1.0,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,5.0,5.0,1.0
111,a,1.6466165413533833,1.1485714285714286,y,p,ff,ff,1.0701754385964912,t,t,1.1791044776119404,f,g,1.3599999999999999,1.00588,1.0,5.0,5.0,2.5384615384615383,2.0,5.0,5.0,1.0,1.0
112,b,1.6514285714285712,2.7857142857142856,u,g,w,v,1.1228070175438596,t,f,1.0,t,g,1.52,1.0,5.0,3.0,1.0,4.6923076923076925,4.5,5.0,1.0,5.0,1.0
113,a,2.2030075187969924,1.1071428571428572,u,g,k,bb,1.1403508771929824,t,t,1.1791044776119404,t,g,1.424,1.0,1.0,3.0,1.0,3.4615384615384617,1.0,5.0,5.0,5.0,1.0
114,b,1.4162406015037594,1.1785714285714286,y,p,c,h,1.1929824561403508,t,t,1.1791044776119404,t,g,1.28,1.0084,5.0,5.0,5.0,1.3076923076923077,2.5,5.0,5.0,5.0,1.0
115,a,1.701954887218045,1.1607142857142856,u,g,q,v,1.1810526315789474,t,t,1.1194029850746268,f,g,1.4,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
116,b,2.443609022556391,2.0,u,g,q,h,2.614035087719298,t,t,1.417910447761194,t,g,1.6,1.0002,5.0,3.0,1.0,4.076923076923077,2.5,5.0,5.0,5.0,1.0
117,b,3.330827067669173,1.9285714285714284,u,g,k,v,1.8828070175438596,t,t,1.8955223880597014,f,g,1.0,1.44808,5.0,3.0,1.0,3.4615384615384617,4.5,5.0,5.0,1.0,1.0
118,b,3.6514285714285712,2.0057142857142853,u,g,m,v,2.9649122807017543,t,t,1.3582089552238805,t,g,1.72,1.05328,5.0,3.0,1.0,3.769230769230769,4.5,5.0,5.0,5.0,1.0
119,a,1.4210526315789473,2.4764285714285714,u,g,cc,h,1.0470175438596492,t,t,1.0597014925373134,t,g,1.16,1.002,1.0,3.0,1.0,1.6153846153846154,2.5,5.0,5.0,5.0,1.0
120,b,2.5741353383458647,1.887142857142857,u,g,q,v,1.0056140350877194,t,t,1.0597014925373134,f,g,1.4,1.012,5.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,1.0,1.0
121,b,1.7169924812030075,2.7857142857142856,u,g,cc,v,1.1698245614035088,t,t,5.0,t,g,1.28,1.01032,5.0,3.0,1.0,1.6153846153846154,4.5,5.0,5.0,5.0,1.0
122,a,1.6616541353383458,2.7857142857142856,u,g,aa,v,1.2105263157894737,t,t,1.716417910447761,t,g,1.24,1.02268,1.0,3.0,1.0,1.0,4.5,5.0,5.0,5.0,1.0
123,a,2.8297744360902257,1.952142857142857,u,g,q,v,2.0350877192982457,t,t,1.1791044776119404,t,g,1.0,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
124,a,1.5864661654135337,2.2857142857142856,u,g,q,v,2.192982456140351,t,t,1.2985074626865671,t,g,1.24,1.0,1.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
125,b,2.2733834586466166,1.7142857142857142,u,g,x,h,2.052631578947368,t,t,1.3582089552238805,t,g,1.0,1.04,5.0,3.0,1.0,5.0,2.5,5.0,5.0,5.0,1.0
126,b,3.040300751879699,1.3571428571428572,u,g,m,bb,1.3508771929824561,t,t,1.716417910447761,t,g,1.82,1.1004,5.0,3.0,1.0,3.769230769230769,1.0,5.0,5.0,5.0,1.0
127,b,1.5413533834586466,2.571428571428571,u,g,q,v,1.3508771929824561,t,t,1.417910447761194,t,g,1.2,1.03236,5.0,3.0,1.0,4.076923076923077,4.5,5.0,5.0,5.0,1.0
128,b,2.243308270676692,1.6071428571428572,u,g,i,bb,1.456140350877193,t,t,1.1194029850746268,f,g,1.548,1.0244,5.0,3.0,1.0,2.8461538461538463,1.0,5.0,5.0,1.0,1.0
129,a,1.8824060150375939,1.5,u,g,w,v,1.1171929824561404,t,f,1.0,f,s,1.56,1.0,1.0,3.0,1.0,4.6923076923076925,4.5,5.0,1.0,1.0,5.0
130,b,4.2481203007518795,1.7857142857142856,u,g,e,z,2.824561403508772,t,t,1.0597014925373134,t,g,1.0,1.0,5.0,3.0,1.0,2.230769230769231,5.0,5.0,5.0,5.0,1.0
131,b,1.401203007518797,1.262142857142857,u,g,c,v,1.3157894736842106,t,t,1.0597014925373134,f,g,1.2,1.006,5.0,3.0,1.0,1.3076923076923077,4.5,5.0,5.0,1.0,1.0
132,a,3.025263157894737,2.142857142857143,u,g,e,bb,1.912280701754386,t,t,1.3582089552238805,f,g,1.75,3.044,1.0,3.0,1.0,2.230769230769231,1.0,5.0,5.0,1.0,1.0
133,b,2.3533834586466167,1.7142857142857142,u,g,c,bb,1.3508771929824561,t,t,1.3582089552238805,f,g,1.0,1.01468,5.0,3.0,1.0,1.3076923076923077,1.0,5.0,5.0,1.0,1.0
134,b,2.138045112781955,1.7857142857142856,u,g,q,h,1.7719298245614035,t,t,1.716417910447761,t,g,1.816,1.04,5.0,3.0,1.0,4.076923076923077,2.5,5.0,5.0,5.0,1.0
135,b,3.095037593984962,1.9285714285714284,u,g,q,h,1.8421052631578947,t,f,1.0,t,g,1.7000000000000002,1.0,5.0,3.0,1.0,4.076923076923077,2.5,5.0,1.0,5.0,1.0
136,b,2.5741353383458647,1.0771428571428572,y,p,aa,v,1.0701754385964912,t,t,1.1791044776119404,f,g,1.4,1.04,5.0,5.0,5.0,1.0,4.5,5.0,5.0,1.0,1.0
